mes,nom_usina,cod_razaorestricao,curtailment_mwh,generation_mwh,pct_curtailment,last_instante
2025-01,CONJ. JANDAIA,ENE,1017.3525,3438.835,0.295842197,1/26/2025 16:30
2025-01,CONJ. JANDAIA,NAN,0,19835.088,0,1/31/2025 23:30
2025-01,CONJ. JANDAIA,REL,416.633,491.4705,0.847727381,1/24/2025 9:30
2025-01,CONJ. JANDAÍRA I,CNF,375.2815,2988.4155,0.125578756,1/31/2025 20:00
2025-01,CONJ. JANDAÍRA I,ENE,855.202,2692.7625,0.317592807,1/26/2025 14:30
2025-01,CONJ. JANDAÍRA I,NAN,0,13519.5395,0,1/31/2025 23:30
2025-01,CONJ. JANDAÍRA I,REL,233.7555,883.615,0.264544513,1/25/2025 18:00
2025-01,CONJ. JANDAÍRA III,CNF,434.8655,1852.7945,0.234707897,1/31/2025 20:00
2025-01,CONJ. JANDAÍRA III,ENE,843.3615,2075.402,0.406360551,1/26/2025 16:30
2025-01,CONJ. JANDAÍRA III,NAN,0,9178.9755,0,1/31/2025 23:30
2025-01,CONJ. JANDAÍRA III,REL,102.018,289.379,0.352541131,1/31/2025 14:30
2025-01,CONJ. JERUSALÉM,CNF,1598.369,10124.943,0.157864494,1/31/2025 20:00
2025-01,CONJ. JERUSALÉM,ENE,2791.062,7813.071,0.357229827,1/26/2025 16:30
2025-01,CONJ. JERUSALÉM,NAN,0,38505.9895,0,1/31/2025 23:30
2025-01,CONJ. JERUSALÉM,REL,1311.7905,3446.2025,0.380648119,1/31/2025 16:00
2025-01,CONJ. KAIROS,CNF,0,0,0,1/3/2025 9:00
2025-01,CONJ. KAIROS,ENE,6.1945,49.155,0.126019733,1/26/2025 16:30
2025-01,CONJ. KAIROS,NAN,0,1667.051,0,1/31/2025 23:30
2025-01,CONJ. KAIROS,REL,23.0815,159.3935,0.144808289,1/31/2025 21:30
2025-01,CONJ. LAGOA DO BARRO I,ENE,1116.0295,5503.9405,0.20276918,1/26/2025 15:00
2025-01,CONJ. LAGOA DO BARRO I,NAN,0,27205.35,0,1/31/2025 23:30
2025-01,CONJ. LAGOA DO BARRO I,REL,747.3425,1178.5525,0.634118972,1/31/2025 16:30
2025-01,CONJ. LAGOA DOS BARROS,ENE,438.324,1087.3375,0.403116788,1/26/2025 14:00
2025-01,CONJ. LAGOA DOS BARROS,NAN,0,36995.7335,0,1/31/2025 23:30
2025-01,CONJ. LAGOA DOS VENTOS,ENE,2163.5495,13995.301,0.154591137,1/26/2025 15:00
2025-01,CONJ. LAGOA DOS VENTOS,NAN,0,69915.4795,0,1/31/2025 23:30
2025-01,CONJ. LAGOA DOS VENTOS,REL,4280.4815,6536.4245,0.654865898,1/31/2025 22:00
2025-01,CONJ. LARANJEIRAS,CNF,25.1725,207.8185,0.12112733,1/27/2025 6:30
2025-01,CONJ. LARANJEIRAS,ENE,4183.046,10508.2535,0.398072429,1/26/2025 16:30
2025-01,CONJ. LARANJEIRAS,NAN,0,51565.2605,0,1/31/2025 23:30
2025-01,CONJ. LARANJEIRAS,REL,12817.42,18215.946,0.703637352,1/31/2025 22:30
2025-01,CONJ. LIVRAMENTO 3,ENE,0,1.8605,0,1/26/2025 14:00
2025-01,CONJ. LIVRAMENTO 3,NAN,0,1793.456,0,1/31/2025 23:30
2025-01,CONJ. MACACOS,CNF,299.3235,1988.273,0.150544467,1/31/2025 20:00
2025-01,CONJ. MACACOS,ENE,922.9595,2196.4405,0.420206921,1/26/2025 14:30
2025-01,CONJ. MACACOS,NAN,0,7368.09,0,1/31/2025 23:30
2025-01,CONJ. MACACOS,REL,317.194,629.8565,0.503597248,1/31/2025 16:00
2025-01,CONJ. MANGUE SECO,CNF,122.6985,895.354,0.137039093,1/31/2025 14:30
2025-01,CONJ. MANGUE SECO,ENE,1520.7405,3279.5685,0.463701399,1/26/2025 16:30
2025-01,CONJ. MANGUE SECO,NAN,0,14335.0015,0,1/31/2025 23:30
2025-01,CONJ. MANGUE SECO,REL,15.26,294.5555,0.051806875,1/24/2025 2:30
2025-01,CONJ. MARMELEIRO 2,ENE,554.942,2669.396,0.207890474,1/26/2025 14:00
2025-01,CONJ. MARMELEIRO 2,NAN,0,65516.003,0,1/31/2025 23:30
2025-01,CONJ. MODELO,CNF,0,522.6085,0,1/31/2025 20:00
